"Income statement for municipalities, SEK thousands by region, Income statement and year"

"region","Income statement","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"0126 Huddinge","General grants and equalisation grants",252188,243801,211607,171165,148396,74880,71338,237995,314146,422364,480428,642758,773220,755829,751790,835783,835226,803687,834426,957066,1001951,1007304,1184397,1139998,1155293
"0126 Huddinge","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,163318,427259,499023,614532
"0126 Huddinge","Financial income",23004,26535,89704,103090,150656,152639,150151,151351,154630,165762,180264,171398,89413,316520,402510,365827,340033,183932,205678,154778,161421,146891,160912,152229,194277
"0126 Huddinge","Financial costs",-1254,-5796,-1285,-963,-650,-563,-401,-293,-322,-2242,-7268,-8110,-8778,-265959,-322782,-332145,-262707,-134501,-97418,-83906,-118539,-117253,-168409,-111735,-178309
"0126 Huddinge","Net profit/loss after financial items",-17819,-112467,-21169,8886,-10877,88777,-32976,87586,210047,254280,170017,118955,243614,245274,172680,183678,185035,138158,125754,352496,184010,192956,419762,539517,630500
"0126 Huddinge","Net profit/loss for the year",-17819,852209,-21169,687886,-10877,88777,-32976,87586,210047,254280,170017,118955,243614,245274,172680,183678,185035,138158,125754,352496,184010,192956,419762,539517,630500
"0127 Botkyrka","Total income for operations",524737,562776,614625,582942,636020,640903,682829,645237,708266,708602,758609,737498,796879,862682,829589,857239,851788,919564,1315424,1251016,1240554,1242209,1285816,1378722,1437400
"0127 Botkyrka","Total costs for operations",-2356996,-2493467,-2622035,-2724357,-2889224,-2975688,-3114751,-3208922,-3390902,-3636765,-3838346,-3992631,-4178745,-4396549,-4555664,-4697745,-4959358,-5195962,-5533598,-5824517,-6104948,-6339840,-6480028,-6617996,-6855587
"0127 Botkyrka","Total net current costs",-1951571,-2061354,-2146406,-2285658,-2416227,-2513135,-2626516,-2763176,-2883562,-3167107,-3323488,-3442494,-3565325,-3724301,-3942304,-4054725,-4339913,-4530926,-4508630,-4831584,-5134958,-5382376,-5493319,-5522293,-5751300
"0127 Botkyrka","Tax revenues",1578302,1671563,1808501,1865318,1923812,2025977,2078440,2110719,2235789,2314120,2432059,2460093,2521724,2628154,2730249,2848080,2943470,3111389,3288403,3470602,3573025,3696864,3736186,3995049,4234299
"0127 Botkyrka","General grants and equalisation grants",438552,420280,440340,458011,491594,468237,490579,649114,743485,873682,927334,1005385,1169593,1243117,1315472,1388126,1395833,1415069,1457746,1536377,1590061,1650789,1933709,1969649,2022265
"0127 Botkyrka","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-34723,176576,442405,505264
"0127 Botkyrka","Financial income",12433,28238,33900,33311,74600,132817,184181,101734,123209,88804,100138,107986,106434,159692,177086,244750,199777,98577,94620,142064,96571,187070,151010,232662,289062
"0127 Botkyrka","Financial costs",-39292,-21383,-40300,-30601,-107255,-53022,-118618,-41245,-32399,-39719,-55274,-19326,-23507,-157722,-126146,-232451,-161358,-66849,-50939,-56169,-71939,-70698,-65674,-53373,-404897
"0127 Botkyrka","Net profit/loss after financial items",37577,35129,92735,35732,-38621,55348,2266,51670,181024,61865,70545,95851,201114,148940,154357,193780,37809,27260,281200,261290,52760,81649,261912,621695,389429
"0127 Botkyrka","Net profit/loss for the year",37577,659947,92735,640832,317079,55348,2266,51670,181024,61865,70545,95851,201114,148940,154357,193780,37809,27260,281200,261290,52760,81649,261912,339324,389429
"0128 Salem","Total income for operations",69848,75114,78176,79809,87559,106501,103626,121598,124039,127692,138632,138954,143709,176221,191867,186730,195879,229882,274790,282739,278261,290256,285182,257123,251456
"0128 Salem","Total costs for operations",-363676,-383522,-406340,-453396,-479145,-505971,-531743,-573986,-612553,-666964,-711802,-743575,-770971,-822419,-859249,-865846,-896609,-978132,-1071491,-1106565,-1157293,-1182985,-1183452,-1231153,-1268779
"0128 Salem","Total net current costs",-317544,-333298,-352988,-402069,-425697,-436063,-467930,-493403,-527857,-586050,-619470,-638926,-663031,-686440,-716094,-725821,-749429,-791944,-837857,-874457,-928563,-969323,-958889,-1031034,-1078793
"0128 Salem","Tax revenues",301474,323695,352886,386737,419347,450569,474385,471571,498480,519484,551685,565220,588960,612035,637231,663433,683836,719749,741829,770219,796929,828237,825238,858902,889636
"0128 Salem","General grants and equalisation grants",29355,28266,25159,23981,16565,85,4527,44443,57061,77572,92387,92616,108761,110577,111791,102400,109222,101518,121313,148504,145251,155191,189594,214713,231953
"0128 Salem","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14105,55943,42581,42796
"0128 Salem","Financial income",1115,2654,2892,1227,916,872,510,572,950,1603,1552,1691,1058,1807,4340,3428,4033,6156,1607,7886,11655,7625,7479,11930,6988
"0128 Salem","Financial costs",-7969,-7881,-4078,-3573,-7304,-10506,-9819,-9510,-8707,-7967,-9068,-6982,-6870,-16085,-11701,-16604,-8527,-7862,-6489,-6050,-5330,-5039,-12928,-3257,-24029
"0128 Salem","Net profit/loss after financial items",6289,13037,23322,5589,3553,4661,1268,13675,19456,3967,16157,11896,28275,21894,25567,26836,39135,27617,20403,46102,19942,16691,50495,51254,25755
"0128 Salem","Net profit/loss for the year",6289,130917,23322,5589,3553,4661,1268,13675,19456,3967,16157,11896,28275,21894,25567,26836,39135,27617,20403,46102,19942,53116,50495,51254,25755
"0136 Haninge","Total income for operations",412221,416482,453212,473671,536866,532741,550448,588852,668884,623362,642913,680290,732670,762927,844456,864576,865323,911819,1216310,1190410,1234014,1294695,1411751,1672636,1648100
"0136 Haninge","Total costs for operations",-1857872,-1983843,-2114377,-2330608,-2476501,-2556346,-2676883,-2825482,-3044551,-3177622,-3381495,-3604500,-3811301,-3995595,-4166594,-4323742,-4488203,-4694327,-5198301,-5409409,-5660968,-6014430,-6201497,-6436077,-6812000
"0136 Haninge","Total net current costs",-1543929,-1669381,-1764522,-1961283,-2057503,-2171261,-2243361,-2360210,-2509965,-2704858,-2866573,-2974878,-3130769,-3285945,-3400897,-3542165,-3695976,-3849796,-4054438,-4297474,-4519941,-4836287,-4920468,-4917614,-5339300
"0136 Haninge","Tax revenues",1511820,1603485,1737885,1856050,1966113,2102316,2156234,2241568,2363530,2452089,2572845,2604167,2666312,2736947,2853128,2951572,3032990,3201788,3380609,3565110,3685685,3849913,3905760,4215881,4516348
"0136 Haninge","General grants and equalisation grants",216581,234945,225062,179878,149755,102828,93340,205703,242219,356850,400065,458513,587088,580811,595714,652698,704851,697036,769237,854798,922651,1027670,1240691,1315634,1443343
"0136 Haninge","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41296,225983,613901,620391
"0136 Haninge","Financial income",7409,6409,7443,10556,5146,10806,33125,30372,28323,32233,35495,33577,31184,34382,57924,58517,65253,62240,10807,11602,11358,15295,22959,19431,34889
"0136 Haninge","Financial costs",-64093,-51293,-47370,-35288,-35672,-33646,-22355,-21155,-20210,-23519,-22383,-13332,-7529,-20384,-33566,-35307,-32420,-33496,-11714,-10574,-9055,-14137,-13949,-10130,-29355
"0136 Haninge","Net profit/loss after financial items",127062,121750,155104,44146,21339,4223,10083,89872,97490,105417,110172,94165,142692,45811,72303,85315,74698,77772,94501,123462,90698,42454,234993,623202,625925
"0136 Haninge","Net profit/loss for the year",127062,185505,155104,44146,21339,4223,10083,89872,97490,105417,110172,94165,142692,45811,72303,85315,74698,77772,94501,123462,90698,42454,234993,623202,625925
"0138 Tyresö","Total income for operations",259071,297053,276379,273580,293708,304134,332567,341339,385093,371391,392995,421352,466086,499728,539588,511948,476085,569770,678333,608075,623836,639650,665109,723416,699501
"0138 Tyresö","Total costs for operations",-1117770,-1215098,-1280308,-1324125,-1426643,-1497095,-1549938,-1621221,-1739240,-1812487,-1923159,-2035127,-2162427,-2211352,-2315310,-2414229,-2481340,-2661172,-2897284,-2925496,-3094780,-3155079,-3185573,-3330543,-3465532
"0138 Tyresö","Total net current costs",-919899,-991178,-1072822,-1126125,-1214038,-1276028,-1309534,-1377443,-1451822,-1541859,-1634735,-1676657,-1761766,-1779406,-1845032,-1981119,-2093425,-2191092,-2320498,-2421975,-2583106,-2631610,-2646193,-2747412,-2919583
"0138 Tyresö","Tax revenues",884616,958117,1046719,1143256,1247605,1322023,1348371,1355577,1429014,1501590,1589610,1628456,1665931,1721570,1790535,1847181,1896332,2009365,2124066,2246360,2326633,2508068,2520800,2635909,2749614
"0138 Tyresö","General grants and equalisation grants",69188,63576,48429,20355,-7333,-35384,-27436,45075,79958,100524,104635,103128,168424,179131,176365,204414,210920,200861,224130,259368,221297,222864,318666,326833,361557
"0138 Tyresö","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99322,193273,215330,191588
"0138 Tyresö","Financial income",2392,1700,3700,6500,5717,57079,15852,6021,5164,5829,6111,4613,5342,6353,6563,5998,7195,6462,8179,8741,18445,14089,13952,9140,11645
"0138 Tyresö","Financial costs",-17589,-15388,-16400,-20443,-17026,-15112,-11503,-9442,-10491,-12696,-19164,-11388,-12594,-32833,-20386,-36077,-15293,-10835,-8829,-7956,-7681,-14399,-13292,-11237,-17718
"0138 Tyresö","Net profit/loss after financial items",18276,15315,7826,22886,13822,51548,14543,18565,50725,51768,44066,45980,63520,94815,108045,40397,5729,14761,27048,84538,-24412,99012,193933,213233,185515
"0138 Tyresö","Net profit/loss for the year",18276,12512,7826,22886,13822,51548,14543,18565,50725,51768,38966,45980,63520,94815,108045,40397,5729,14761,27048,84538,-24412,99012,193933,213233,185515
"0139 Upplands-Bro","Total income for operations",152927,160715,194903,183867,198524,224446,228338,255927,271308,323460,266892,276059,253646,268185,300074,334819,313162,334915,420949,458943,534653,481039,547242,510120,621318
"0139 Upplands-Bro","Total costs for operations",-638429,-672155,-715559,-755477,-796899,-842421,-836443,-880565,-956024,-1051950,-1074286,-1126736,-1185184,-1220801,-1269532,-1337917,-1404929,-1517324,-1657742,-1789362,-1868261,-1997518,-2092102,-2157836,-2317414
"0139 Upplands-Bro","Total net current costs",-517973,-546503,-548136,-613642,-634621,-664692,-654418,-670340,-733123,-773615,-848234,-873493,-953239,-978311,-1005456,-1040087,-1133265,-1224720,-1288035,-1385847,-1395520,-1573595,-1605419,-1716416,-1769794
"0139 Upplands-Bro","Tax revenues",472443,494269,539756,576120,615702,646829,661618,668538,704939,728421,760843,776896,806827,844720,886365,933747,961436,1010802,1066402,1122009,1154325,1220660,1243985,1360479,1437874
"0139 Upplands-Bro","General grants and equalisation grants",66764,74009,60408,46570,32288,19140,15168,46341,60281,83688,99682,106235,168439,170698,161938,148020,167587,215359,250378,304811,342675,403291,450943,481208,544576
"0139 Upplands-Bro","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50356,89509,125271,212656
"0139 Upplands-Bro","Financial income",3275,4087,3339,3919,3380,2566,2613,692,3363,13308,14447,12529,11638,17087,20345,13687,10318,8639,10711,9972,12334,10511,9383,7520,16304
"0139 Upplands-Bro","Financial costs",-13174,-10405,-8196,-7906,-6953,-5208,-3548,-3226,-3301,-8951,-16078,-8476,-6056,-24397,-20598,-22869,-8024,-7110,-5924,-6820,-6151,-6586,-5840,-4065,-8158
"0139 Upplands-Bro","Net profit/loss after financial items",10949,14454,46051,4592,8996,-2144,20397,41112,31127,41378,8687,10211,26146,29797,42594,32498,-1948,2970,33532,44125,107663,54281,93052,128727,220802
"0139 Upplands-Bro","Net profit/loss for the year",10949,14454,46051,4592,8996,-2144,20397,131112,31127,41378,8687,10211,26146,29797,42594,32498,-1948,2970,33532,44125,107663,54281,93052,128727,220802
"0140 Nykvarn","Total income for operations",..,54298,48767,57340,67969,73681,69252,71530,92078,103220,85959,80309,80933,134615,95745,88954,122923,101386,129849,122129,157822,151227,157301,140154,145748
"0140 Nykvarn","Total costs for operations",..,-228929,-243332,-268390,-298137,-322196,-319562,-329639,-349936,-395444,-423995,-434068,-447972,-450960,-467695,-487450,-497989,-541753,-583724,-640245,-688492,-720251,-725939,-751610,-789747
"0140 Nykvarn","Total net current costs",..,-186612,-208669,-226909,-248799,-265207,-270176,-277391,-277485,-324228,-368960,-377067,-391824,-342142,-399651,-427869,-405352,-469567,-483357,-550870,-574891,-616489,-620010,-663232,-697395
"0140 Nykvarn","Tax revenues",..,191252,210054,231844,242813,257997,269644,274035,296464,311700,332453,344616,360113,369060,390613,409752,416752,439326,456919,494010,513796,545805,552811,593098,632873
"0140 Nykvarn","General grants and equalisation grants",..,8408,13000,7369,4099,-3769,2098,15647,8682,19660,37158,28008,39405,40586,31309,38983,48276,42861,60626,72122,64496,71101,94023,94985,100648
"0140 Nykvarn","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,417,26824,24851,36126
"0140 Nykvarn","Financial income",..,4472,18235,18114,17379,22675,14426,10389,9918,15834,17373,21245,20624,24000,21470,21925,20735,33582,18160,17510,18099,20698,9826,8226,7262
"0140 Nykvarn","Financial costs",..,-4054,-14902,-11509,-9834,-9021,-7436,-5828,-5986,-10586,-17110,-14888,-13894,-20114,-16934,-16372,-14826,-16825,-11707,-11554,-9950,-10851,-12832,-12365,-17151
"0140 Nykvarn","Net profit/loss after financial items",..,13200,17473,18835,5559,2623,8189,16845,31593,12380,914,1914,14424,71390,26807,26419,65585,29377,40641,21218,11550,10264,23818,20712,26237
"0140 Nykvarn","Net profit/loss for the year",..,13200,59203,18835,5559,2623,124604,16845,31593,12380,914,1914,14424,71390,26807,26419,65585,29377,40641,21218,11550,10264,23818,20712,26237
